participant,trades,total_qty,hit_rate,mean_score,total_score,positive_score,symbols,rank_score
Mark 14,1650,7546,0.4509090909090909,27.878272727272726,45999.15,47705.65,"HYDROGEL_PACK, VELVETFRUIT_EXTRACT",45363.73627272728
Mark 01,504,2792,0.49206349206349204,18.330853174603174,9238.75,9784.275,VELVETFRUIT_EXTRACT,9706.622023809523
Mark 67,165,1510,0.7575757575757576,12.136515151515152,2002.525,2884.0,VELVETFRUIT_EXTRACT,3626.848484848485
Mark 55,1198,6551,0.4749582637729549,-15.275354757929883,-18299.875,1756.075,VELVETFRUIT_EXTRACT,1712.099833055092
Mark 22,145,917,0.31724137931034485,-1.6560344827586206,-240.125,1156.8,"HYDROGEL_PACK, VELVETFRUIT_EXTRACT",945.3848275862068
Mark 38,1022,4096,0.46966731898238745,-36.33380626223092,-37133.15,905.725,HYDROGEL_PACK,878.2519324853229
Mark 49,122,1186,0.18032786885245902,-12.846516393442624,-1567.275,707.725,VELVETFRUIT_EXTRACT,481.48504098360655
