product,feature,pearson,spearman,decile_10_minus_1_bps,samples
ASH_COATED_OSMIUM,imbalance,0.012367115870821942,0.6217196576619323,15.774773671134428,29950.0
ASH_COATED_OSMIUM,micro_gap,-0.001740034642976742,0.46402429704348125,-0.10359719493996877,29950.0
ASH_COATED_OSMIUM,signed_qty,-0.0013257435405034776,0.0014039112300183942,6.649869771361129,29950.0
ASH_COATED_OSMIUM,rolling_signed_qty_50,-0.008256757569859116,-0.0012119642017467114,-10.049705424643145,29901.0
ASH_COATED_OSMIUM,ofi_proxy,0.009354619618225047,-0.10299028282789056,17.522835303279756,29950.0
INTARIAN_PEPPER_ROOT,imbalance,0.00434565002140588,0.625013349563149,-0.4273986682573536,29945.0
INTARIAN_PEPPER_ROOT,micro_gap,-0.0020507757776168116,0.472894158848186,-4.154480430560961,29945.0
INTARIAN_PEPPER_ROOT,signed_qty,0.0011152316005591644,0.0648249556068613,10.347505778352012,29945.0
INTARIAN_PEPPER_ROOT,rolling_signed_qty_50,-0.0058071674029187585,0.008889361392802159,-13.287425767779261,29896.0
INTARIAN_PEPPER_ROOT,ofi_proxy,0.0041062811495277945,-0.11385532342516272,3.905335324337594,29945.0
